,inference_id,layer_id,split_layer,total_inference_time_ns,completed_by_node,class,inference_time,parameters,parameter_bytes,cpu_cycles_used,watts_used,depth,precision,input_size,output_size,output_bytes
0,00c49557-60de-4c92-a3cc-b530a7da4053,0,6,75842479,CLIENT1,Conv2d,15822469,23296,93184,,,2,,"[1, 3, 224, 224]","[1, 64, 55, 55]",774400
1,00c49557-60de-4c92-a3cc-b530a7da4053,1,6,75842479,CLIENT1,ReLU,523361,0,0,,,2,,"[1, 64, 55, 55]","[1, 64, 55, 55]",774400
2,00c49557-60de-4c92-a3cc-b530a7da4053,2,6,75842479,CLIENT1,MaxPool2d,2007487,0,0,,,2,,"[1, 64, 55, 55]","[1, 64, 27, 27]",186624
3,00c49557-60de-4c92-a3cc-b530a7da4053,3,6,75842479,CLIENT1,Conv2d,23452588,307392,1229568,,,2,,"[1, 64, 27, 27]","[1, 192, 27, 27]",559872
4,00c49557-60de-4c92-a3cc-b530a7da4053,4,6,75842479,CLIENT1,ReLU,363105,0,0,,,2,,"[1, 192, 27, 27]","[1, 192, 27, 27]",559872
5,00c49557-60de-4c92-a3cc-b530a7da4053,5,6,75842479,CLIENT1,MaxPool2d,1414681,0,0,,,2,,"[1, 192, 27, 27]","[1, 192, 13, 13]",129792
6,00c49557-60de-4c92-a3cc-b530a7da4053,6,6,75842479,EDGE1,Conv2d,5516760,663936,2655744,,,2,,"[1, 192, 13, 13]","[1, 384, 13, 13]",259584
7,00c49557-60de-4c92-a3cc-b530a7da4053,7,6,75842479,EDGE1,ReLU,72890,0,0,,,2,,"[1, 384, 13, 13]","[1, 384, 13, 13]",259584
8,00c49557-60de-4c92-a3cc-b530a7da4053,8,6,75842479,EDGE1,Conv2d,7185666,884992,3539968,,,2,,"[1, 384, 13, 13]","[1, 256, 13, 13]",173056
9,00c49557-60de-4c92-a3cc-b530a7da4053,9,6,75842479,EDGE1,ReLU,95550,0,0,,,2,,"[1, 256, 13, 13]","[1, 256, 13, 13]",173056
10,00c49557-60de-4c92-a3cc-b530a7da4053,10,6,75842479,EDGE1,Conv2d,4622097,590080,2360320,,,2,,"[1, 256, 13, 13]","[1, 256, 13, 13]",173056
11,00c49557-60de-4c92-a3cc-b530a7da4053,11,6,75842479,EDGE1,ReLU,61716,0,0,,,2,,"[1, 256, 13, 13]","[1, 256, 13, 13]",173056
12,00c49557-60de-4c92-a3cc-b530a7da4053,12,6,75842479,EDGE1,MaxPool2d,343418,0,0,,,2,,"[1, 256, 13, 13]","[1, 256, 6, 6]",36864
13,00c49557-60de-4c92-a3cc-b530a7da4053,13,6,75842479,EDGE1,AdaptiveAvgPool2d,396046,0,0,,,1,,"[1, 256, 6, 6]","[1, 256, 6, 6]",36864
14,00c49557-60de-4c92-a3cc-b530a7da4053,14,6,75842479,EDGE1,Dropout,32214,0,0,,,2,,"[1, 9216]","[1, 9216]",36864
15,00c49557-60de-4c92-a3cc-b530a7da4053,15,6,75842479,EDGE1,Linear,8863888,37752832,151011328,,,2,,"[1, 9216]","[1, 4096]",16384
