,inference_id,split_layer,total_time_ns,inf_time_client,inf_time_edge,transmission_latency_ns
0,10efd434-548b-412b-a890-34744faf7164,17,202613577,193238293,5279284,4096000
1,112e23f1-cf0b-4d1c-8cc8-eea64458880d,2,267766180,25334058,48832122,193600000
2,198e8b21-c379-41bd-80ad-b7cbea07aa28,1,263763125,16495329,53667796,193600000
3,1a560c4c-1a56-41ae-b1a5-f7a301a90b1b,1,264184659,16634845,53949814,193600000
4,1f9ba53f-06c1-435b-99af-edb1ade2e995,17,202954895,193896469,4962426,4096000
5,42214b08-c161-4a1c-8546-b0fc902725f3,9,185071567,120686329,21121238,43264000
6,46d2eb8a-257e-42a0-971b-2282277f848d,19,319227847,313973473,1158374,4096000
7,4a51bd3b-2198-4b4a-91e0-580363e0a2a8,15,129434324,105138947,15079377,9216000
8,4aad2a24-4017-4c0b-a5d3-0abf8715ef6d,15,129504328,106312369,13975959,9216000
9,556e5abd-bf09-4059-a3cb-2b3d8a1a55fd,4,227680518,47743753,39968765,139968000
10,5769e6bb-cda5-4233-8001-54d48da25e76,19,262880609,257486659,1297950,4096000
11,58b8aa3f-1471-4287-bd60-bccb54847a07,18,216784600,207581656,5106944,4096000
12,65b9bf4c-51f3-4ba3-801c-1cf85018bcc8,18,202073867,192709213,5268654,4096000
13,753ad733-ee5b-4142-8bac-89767d120a82,11,159321284,98856769,17200515,43264000
14,75c8145d-279e-400d-b272-bdffa6f0562e,10,152065674,86861628,21940046,43264000
15,799af256-d7ca-49cb-8266-997e039dd613,5,229537418,49534540,40034878,139968000
16,7c872be4-d47c-4059-baa5-40c111114837,16,202035514,192888022,5051492,4096000
17,7ef8cad7-e60c-4ee8-8c59-8533be653c36,3,117995792,29068091,42271701,46656000
18,9459ad6c-f190-467b-849a-2b9afb0c0c0f,8,221008646,127500350,28612297,64895999
19,95e0c46b-53f0-48d2-9344-e3500c1e5e4d,20,53135923,0,53135923,0
20,95f85e14-5de7-44c1-ac73-6b8b25eebb4e,9,147727483,84859625,19603858,43264000
21,a1696326-8241-4d12-88fc-cfe1ed470bbb,2,267134778,18873494,54661284,193600000
22,a3390c93-7b9e-4086-9925-03d87e57cfcb,7,168917565,71410302,32611264,64895999
23,a603ee50-6466-4061-b8d3-3c227bb8d424,5,229538530,49426228,40144302,139968000
24,ae7abc83-87fa-4067-8c38-16d40576f6c1,7,186743130,90478903,31368228,64895999
25,af80dc89-28b7-4a72-b907-39986b41e491,6,117550589,52032553,33070037,32447999
26,b30358fd-5d95-451a-8316-916ecff47221,10,151610792,86736241,21610551,43264000
27,b5b7ee13-6092-49f2-b487-7e2fba7312c2,13,127066239,103042832,14807407,9216000
28,bae14ece-cad5-454f-9711-8b517362594c,12,160262325,100789960,16208365,43264000
29,bc45dd77-68ea-4722-8719-d30686c0e6d7,20,51989201,0,51989201,0
30,c2bfe7cf-6fe0-415f-af8f-e7a67e4beb9c,4,221025477,47505055,33552422,139968000
31,c61551e0-8050-400c-b019-d32d2354236e,3,113352808,23379200,43317608,46656000
32,da87b311-27da-4176-b8b0-f4e08b718ad6,14,129219105,105623292,14379813,9216000
33,e22df2d4-2990-4a35-bf4f-7c9f1849e683,0,478991687,328463687,0,150528000
34,e3b26ae8-f125-4e0f-b538-53ffd1f04a39,6,135403789,69837418,33118372,32447999
35,e723255f-ee84-4888-9734-0e7477d05f34,8,158534669,66917114,26721556,64895999
36,ea6d8752-09e5-4989-a35f-1c4082d27be0,14,129078369,105380404,14481965,9216000
37,eaa9634e-c988-431f-9e2f-b7c218a5ab40,0,472729861,322201861,0,150528000
38,ecec0970-65f7-46ed-bfd3-fb300da7184f,13,128437162,104440385,14780777,9216000
39,f0bebf02-16d6-4988-9df0-c0f2f074f655,11,161702361,100907848,17530513,43264000
40,f2c297df-d775-47dc-8015-9bd15430ecaf,16,202905276,193642811,5166465,4096000
41,f6c33df5-6e7e-483d-a7a3-5546e9912482,12,159746071,100677095,15804976,43264000
