,inference_id,split_layer,total_time_ns,inf_time_client,inf_time_edge,transmission_latency_ns
0,003584a5-4828-457c-ab0e-b6707f464941,5,224914003,44863590,40082413,139968000
1,0568d71f-0b04-4321-ba56-07da70c43975,6,111802626,46576898,32777729,32447999
2,0590d570-220c-4659-8e25-2542a0cd11b2,2,263260787,17289969,52370818,193600000
3,077a2d61-96d9-4795-9c41-f5ef892a8cd2,0,479691836,329163836,0,150528000
4,0db4f5a0-9ba9-4048-af5a-1dca331288df,1,264359853,16470593,54289260,193600000
5,12c83d7f-b575-47e2-a56f-ece65804d444,10,141658415,78240231,20154184,43264000
6,17723633-87b1-4c17-82b4-f5bbd42ee1e0,4,220770528,47174091,33628437,139968000
7,186f9c75-d21d-4465-b3fc-72cefdef4c49,19,249298151,243964158,1237993,4096000
8,1f397f4f-ca7e-47f1-a297-60a82b31f1f6,0,464820514,314292514,0,150528000
9,21bddd12-4380-4c5a-a057-5162be4adfc7,17,312371529,303138135,5137394,4096000
10,27c31fb3-af54-4490-8815-a7277506068c,6,114895308,48023224,34424085,32447999
11,28abc3fb-56dd-496e-aa40-9c495bcb3d58,5,220798906,44210878,36620028,139968000
12,2dcf173d-bedf-4324-9e29-d32a4e0d64cf,18,188647474,179544301,5007173,4096000
13,3940352f-5c89-4ecc-8971-752bb7241268,8,153754895,60789580,28069316,64895999
14,4a992a55-8887-4914-a2fe-e765848d3287,20,49339165,0,49339165,0
15,4c155085-b260-4330-a7b1-c0990835c65f,9,139082917,76248818,19570099,43264000
16,4ec08622-61fe-463a-9913-908101cfecc8,1,263416358,15463331,54353027,193600000
17,519f6090-159b-4835-a981-cb6b2d7413de,2,260610511,18137067,48873444,193600000
18,5357226c-cac6-4a7b-a3dd-437d68e6f822,20,54203482,0,54203482,0
19,633de086-2897-4936-a693-1a29350fe3e2,13,116144400,92130086,14798314,9216000
20,7603a765-1aab-4fe2-af56-df47976dc014,8,154037726,61039427,28102300,64895999
21,9449dbf6-909e-4210-8abf-c2c93b15168d,9,141435653,76448610,21723043,43264000
22,94f8b7c8-1959-460d-8d3c-f95243893c17,13,117231159,92845019,15170140,9216000
23,9676bfbe-8067-489c-b198-88e0df875447,3,109552317,20887967,42008350,46656000
24,a3def410-1489-4b5e-910c-c930076d4b20,16,191102391,181813545,5192846,4096000
25,b0a8552a-582a-4be0-a08f-955798664ef5,10,141762203,77616445,20881758,43264000
26,b1ae347c-3a96-4767-a934-e976c665b44f,14,117059883,93031518,14812365,9216000
27,b567f282-f5d1-465e-a7c3-970ad03f5708,7,155198671,59033961,31268711,64895999
28,c541a5b1-8221-4687-8064-1effe54cf722,15,116868718,93250513,14402205,9216000
29,cef7d2f4-3482-4f42-83f9-c0b73b38da1e,7,150819813,58947165,26976649,64895999
30,d41c7865-52a5-48cf-a4a0-02cf71af4c86,11,147895331,89382279,15249052,43264000
31,db9e9908-9dd8-4f8e-95c7-2ada0c511899,11,147532276,89049080,15219196,43264000
32,ddf6fab8-7701-4f11-a050-9a4931a7aefa,12,150342840,91534391,15544449,43264000
33,df2fd63a-9ea8-4759-b099-9f1cf8591c8c,15,116554059,92955590,14382469,9216000
34,e0a28bdb-b555-453f-85a8-21df4b794f6a,17,189555301,180074700,5384601,4096000
35,e4c49ba1-15f1-4df5-b16f-eaae2f4e4fa1,18,188863220,179444117,5323103,4096000
36,ea02463b-782b-417a-be90-557b8bea3ba4,14,116326343,93099533,14010810,9216000
37,edd50f17-ec2c-4a14-b5d3-184bcdefba69,3,109271141,19789372,42825769,46656000
38,f5a8aba6-a4f7-4ca4-a26c-9fa007797f22,19,249196308,243891899,1208409,4096000
39,f6707285-9b91-4951-b53f-7c0100d2fc8b,4,218830909,42650198,36212711,139968000
40,fba5cb90-a641-4e3a-b880-d8c08777f131,12,149006594,90062452,15680142,43264000
41,fd178303-a6aa-4376-a3ad-d7e33e47ed46,16,189848513,180481452,5271061,4096000
